psa_id,domain,subcategory,psa_text,word_count,validation_status
PSA_00024,Health,Public Health Campaigns,Adopt healthy eating habits and follow verified advice from Kenya Red Cross Society.,13,ACCEPT
PSA_00025,Health,Mental Health Awareness,Reduce health risks in rural communities. Listen without judgment to people experiencing distress.,13,ACCEPT
PSA_00026,Health,Maternal and Child Health,Follow treatment instructions carefully and provide children with a balanced diet.,11,ACCEPT
PSA_00027,Health,Maternal and Child Health,Prevent avoidable illness. Attend postnatal care appointments.,7,ACCEPT
PSA_00028,Health,Disease Prevention and Control,Reduce health risks in homes. Cover your mouth and nose when coughing or sneezing.,14,ACCEPT
PSA_00029,Health,Maternal and Child Health,Report severe bleeding or persistent pain immediately. Ministry of Health reminds caregivers to act early.,15,ACCEPT
PSA_00030,Health,Maternal and Child Health,Stay safe from delayed antenatal care. Take prescribed supplements as directed.,11,ACCEPT
PSA_00031,Health,Mental Health Awareness,Your action matters. Use healthy methods to manage stress.,9,ACCEPT
PSA_00032,Health,Healthcare Access,Follow official information about available health services. Early action can reduce the effects of long distances to health facilities.,19,ACCEPT
PSA_00033,Health,Disease Prevention and Control,Prioritize contact tracing. Follow verified public-health guidance.,7,ACCEPT
PSA_00034,Health,Disease Prevention and Control,Seek medical attention when symptoms appear whenever you are in public transport stations.,13,ACCEPT
PSA_00035,Health,Maternal and Child Health,Stay safe from malnutrition. Take newborns for scheduled health check-ups.,10,ACCEPT
PSA_00036,Health,Mental Health Awareness,Reduce health risks in social support groups. Report bullying to the appropriate authority.,13,ACCEPT
PSA_00037,Health,Disease Prevention and Control,Protect yourself from malaria: drink treated or boiled water.,9,ACCEPT
PSA_00038,Health,Maternal and Child Health,Follow safe infant feeding practices. nutrition support programmes reminds community health volunteers to act early.,15,ACCEPT
PSA_00039,Health,Maternal and Child Health,Do your part to reduce childhood illness. Seek treatment promptly when a child has difficulty breathing.,16,ACCEPT
PSA_00040,Health,Mental Health Awareness,licensed counselling centres: Encourage open and respectful conversations about mental health in homes.,13,ACCEPT
PSA_00041,Health,Disease Prevention and Control,Ensure children receive routine immunization before poor sanitation becomes more serious.,11,ACCEPT
PSA_00042,Health,Healthcare Access,public hospitals urges young people to follow official information about available health services.,13,ACCEPT
PSA_00043,Health,Disease Prevention and Control,Good community health starts with one action: notify community health workers about unusual symptoms.,14,ACCEPT
PSA_00044,Health,Maternal and Child Health,Every household should support skilled birth attendance by choosing to report severe bleeding or persistent pain immediately.,17,ACCEPT
PSA_00045,Health,Healthcare Access,Every community can reduce unsafe online medical advice. Confirm health insurance information through official offices.,15,ACCEPT
PSA_00046,Health,Public Health Campaigns,"For better community mobilisation, adopt healthy eating habits.",8,ACCEPT
PSA_00047,Health,Mental Health Awareness,Contact a recognized health facility for professional guidance. Early action can reduce the effects of emotional distress.,17,ACCEPT
PSA_00048,Health,Disease Prevention and Control,Isolate when advised by a healthcare professional in public gatherings to help prevent tuberculosis.,14,ACCEPT
PSA_00049,Health,Maternal and Child Health,"Stay informed, stay safe, and keep the child's immunization records safely.",11,ACCEPT
PSA_00050,Health,Public Health Campaigns,"For better early detection, follow instructions issued during national health campaigns.",11,ACCEPT
PSA_00051,Health,Disease Prevention and Control,Reduce health risks in schools. Report suspected disease outbreaks to health authorities.,12,ACCEPT
PSA_00052,Health,Maternal and Child Health,Healthy communities depend on responsible action. Provide children with a balanced diet.,12,ACCEPT
PSA_00053,Health,Public Health Campaigns,Support local disease-prevention activities before delayed healthcare seeking becomes more serious.,11,ACCEPT
PSA_00054,Health,Disease Prevention and Control,Follow verified public-health guidance. Do not ignore the risk of cholera.,11,ACCEPT
PSA_00055,Health,Public Health Campaigns,Check your blood pressure regularly. This guidance is intended for community groups.,12,ACCEPT
PSA_00056,Health,Maternal and Child Health,Protect public health in nutrition centres: ensure pregnant women sleep under treated mosquito nets.,14,ACCEPT
PSA_00057,Health,Maternal and Child Health,Deliver at a recognized health facility to promote pregnancy danger signs.,11,ACCEPT
PSA_00058,Health,Public Health Campaigns,"If you suspect non-communicable diseases, seek screening for common preventable diseases.",11,ACCEPT
PSA_00059,Health,Healthcare Access,"If you suspect long distances to health facilities, carry relevant health records when visiting a clinic.",16,ACCEPT
PSA_00060,Health,Disease Prevention and Control,Choose early care over delayed treatment. Complete all prescribed medication.,10,ACCEPT
PSA_00061,Health,Maternal and Child Health,Choose safe health practices. Provide children with a balanced diet.,10,ACCEPT
PSA_00062,Health,Maternal and Child Health,public hospitals advises immediate action against childhood illness: take newborns for scheduled health check-ups.,14,ACCEPT
PSA_00063,Health,Maternal and Child Health,Attend all scheduled antenatal clinic visits in public hospitals to help prevent missed immunization.,14,ACCEPT
PSA_00064,Health,Public Health Campaigns,Rural residents should use public sanitation facilities responsibly.,8,ACCEPT
PSA_00065,Health,Disease Prevention and Control,Seek medical attention when symptoms appear whenever you are in health facilities.,12,ACCEPT
PSA_00066,Health,Healthcare Access,Register births and medical records through official channels and encourage others to do the same.,15,ACCEPT
PSA_00067,Health,Mental Health Awareness,Challenge false information about mental illness.,6,ACCEPT
PSA_00068,Health,Healthcare Access,Older adults should support vulnerable family members in attending medical visits.,11,ACCEPT
PSA_00069,Health,Healthcare Access,"If you suspect incorrect medicine use, ask healthcare workers for clear treatment instructions.",13,ACCEPT
PSA_00070,Health,Public Health Campaigns,"If you are in rural communities, encourage family members to attend health campaigns.",13,ACCEPT
PSA_00071,Health,Maternal and Child Health,Support mothers in accessing maternal healthcare.,6,ACCEPT
PSA_00072,Health,Public Health Campaigns,Make risk reduction part of everyday life. Reduce the consumption of harmful substances.,13,ACCEPT
PSA_00073,Health,Public Health Campaigns,Choose safe health practices. Register for available public health programmes.,10,ACCEPT
PSA_00074,Health,Maternal and Child Health,Protect yourself from delayed antenatal care: take prescribed supplements as directed.,11,ACCEPT
PSA_00075,Health,Public Health Campaigns,Choose safe health practices. Adopt healthy eating habits.,8,ACCEPT
PSA_00076,Health,Healthcare Access,mobile health clinics encourages people living with chronic conditions to register for available public health insurance programmes.,17,ACCEPT
PSA_00077,Health,Mental Health Awareness,Create safe and supportive school environments.,6,ACCEPT
PSA_00078,Health,Disease Prevention and Control,Make health a priority. Follow verified public-health guidance.,8,ACCEPT
PSA_00079,Health,Disease Prevention and Control,Make health a priority. Isolate when advised by a healthcare professional.,11,ACCEPT
PSA_00080,Health,Healthcare Access,Do not rely on rumours about long distances to health facilities. Support vulnerable family members in attending medical visits.,19,ACCEPT
PSA_00081,Health,Healthcare Access,Choose safe health practices. Register births and medical records through official channels.,12,ACCEPT
PSA_00082,Health,Mental Health Awareness,Use trusted health information and participate in mental health awareness programmes.,11,ACCEPT
PSA_00083,Health,Maternal and Child Health,Avoid the dangers of preventable maternal deaths: provide children with a balanced diet.,13,ACCEPT
PSA_00084,Health,Public Health Campaigns,"When visiting markets, participate in community clean-up activities.",8,ACCEPT
PSA_00085,Health,Maternal and Child Health,Make health a priority. Take newborns for scheduled health check-ups.,10,ACCEPT
PSA_00086,Health,Mental Health Awareness,Small actions can prevent delayed access to counselling. Seek professional mental health support when needed.,15,ACCEPT
PSA_00087,Health,Disease Prevention and Control,Follow treatment instructions carefully and ensure children receive routine immunization.,10,ACCEPT
PSA_00088,Health,Mental Health Awareness,Protect public health in homes: follow treatment advice from qualified professionals.,11,ACCEPT
PSA_00089,Health,Mental Health Awareness,"When signs of bullying appear, speak to a trusted adult or qualified counsellor when overwhelmed.",15,ACCEPT
PSA_00090,Health,Maternal and Child Health,Good family planning starts with one action: register pregnant women with the nearest health facility.,15,ACCEPT
PSA_00091,Health,Disease Prevention and Control,Use insecticide-treated mosquito nets every night before delayed disease reporting becomes more serious.,13,ACCEPT
PSA_00092,Health,Public Health Campaigns,Keep health records safe and encourage family members to attend health campaigns.,12,ACCEPT
PSA_00093,Health,Mental Health Awareness,Participate in mental health awareness programmes to protect caregivers from lack of social support.,14,ACCEPT
PSA_00094,Health,Healthcare Access,Make medicine safety part of everyday life. Use medicines only as prescribed by qualified professionals.,15,ACCEPT
PSA_00095,Health,Disease Prevention and Control,Wash your hands regularly with soap and clean water to prevent avoidable harm in homes.,15,ACCEPT
PSA_00096,Health,Maternal and Child Health,Act now for better health. Seek immediate care when pregnancy danger signs appear.,13,ACCEPT
PSA_00097,Health,Public Health Campaigns,"To support vaccination campaign, use public sanitation facilities responsibly.",9,ACCEPT
PSA_00098,Health,Disease Prevention and Control,"If you are in disease outbreak zones, ensure children receive routine immunization.",12,ACCEPT
PSA_00099,Health,Mental Health Awareness,"For better healthy coping, use healthy methods to manage stress.",10,ACCEPT
PSA_00100,Health,Healthcare Access,Every household should support qualified healthcare provider by choosing to keep all medical appointment dates.,15,ACCEPT
PSA_00101,Health,Public Health Campaigns,Use trusted health information and follow verified health information.,9,ACCEPT
PSA_00102,Health,Disease Prevention and Control,disease surveillance teams reminds market traders to follow verified public-health guidance.,11,ACCEPT
PSA_00103,Health,Healthcare Access,Prioritize community healthcare. Use official emergency medical contacts.,8,ACCEPT
PSA_00104,Health,Healthcare Access,Stay safe from failure to seek preventive care. Use official emergency medical contacts.,13,ACCEPT
PSA_00105,Health,Mental Health Awareness,Everyone in schools should report bullying to the appropriate authority.,10,ACCEPT
PSA_00106,Health,Maternal and Child Health,Stay safe from preventable childhood deaths. Maintain good hygiene when preparing children's food.,13,ACCEPT
PSA_00107,Health,Healthcare Access,Protect yourself from incorrect medicine use: use official emergency medical contacts.,11,ACCEPT
PSA_00108,Health,Mental Health Awareness,Be alert to family conflict and create safe and supportive school environments.,12,ACCEPT
PSA_00109,Health,Mental Health Awareness,Protect your health today. Learn to recognize signs of emotional distress.,11,ACCEPT
PSA_00110,Health,Maternal and Child Health,Women of reproductive age are encouraged to attend postnatal care appointments.,11,ACCEPT
PSA_00111,Health,Mental Health Awareness,"To support mental health awareness, refer individuals to recognized support services.",11,ACCEPT
PSA_00112,Health,Public Health Campaigns,Help protect young people by choosing to adopt healthy eating habits.,11,ACCEPT
PSA_00113,Health,Maternal and Child Health,Keep health records safe and take newborns for scheduled health check-ups.,11,ACCEPT
PSA_00114,Health,Healthcare Access,County Department of Health advises immediate action against failure to seek preventive care: keep emergency health information easily accessible.,19,ACCEPT
PSA_00115,Health,Public Health Campaigns,Stay safe from diabetes. Check your blood pressure regularly.,9,ACCEPT
PSA_00116,Health,Disease Prevention and Control,Follow treatment instructions carefully and drink treated or boiled water.,10,ACCEPT
PSA_00117,Health,Mental Health Awareness,Members of the public are advised to avoid using harmful language about mental health.,14,ACCEPT
PSA_00118,Health,Maternal and Child Health,"When signs of delayed antenatal care appear, deliver at a recognized health facility.",13,ACCEPT
PSA_00119,Health,Mental Health Awareness,Good healthy coping starts with one action: listen without judgment to people experiencing distress.,14,ACCEPT
PSA_00120,Health,Public Health Campaigns,Verified health information protects communities. Follow verified health information.,9,ACCEPT
PSA_00121,Health,Healthcare Access,"For better patient records, keep emergency health information easily accessible.",10,ACCEPT
PSA_00122,Health,Healthcare Access,Keep health records safe and register births and medical records through official channels.,13,ACCEPT
PSA_00123,Health,Maternal and Child Health,Reduce health risks in community health centres. Take newborns for scheduled health check-ups.,13,ACCEPT
PSA_00124,Health,Disease Prevention and Control,Choose safe health practices. Complete all prescribed medication.,8,ACCEPT
PSA_00125,Health,Public Health Campaigns,Take responsibility for your health. Attend free health screening events.,10,ACCEPT
PSA_00126,Health,Disease Prevention and Control,Kenya Red Cross Society warns that dengue fever may affect travellers. Cover your mouth and nose when coughing or sneezing.,20,ACCEPT
PSA_00127,Health,Maternal and Child Health,"To support pregnancy danger signs, provide children with a balanced diet.",11,ACCEPT
PSA_00128,Health,Healthcare Access,"For better continuity of care, confirm health insurance information through official offices.",12,ACCEPT
PSA_00129,Health,Mental Health Awareness,Participate in mental health awareness programmes to promote school counselling.,10,ACCEPT
PSA_00130,Health,Mental Health Awareness,"Together, we can prevent untreated mental health conditions. Contact a recognized health facility for professional guidance.",16,ACCEPT
PSA_00131,Health,Healthcare Access,Follow treatment instructions carefully and confirm health insurance information through official offices.,12,ACCEPT
PSA_00132,Health,Maternal and Child Health,Small actions can prevent insufficient postnatal care. Maintain good hygiene when preparing children's food.,14,ACCEPT
PSA_00133,Health,Mental Health Awareness,Everyone in counselling centres should create safe and supportive school environments.,11,ACCEPT
PSA_00134,Health,Disease Prevention and Control,Every household should support public hygiene by choosing to complete all prescribed medication.,13,ACCEPT
PSA_00135,Health,Mental Health Awareness,Everyone in community centres should refer individuals to recognized support services.,11,ACCEPT
PSA_00136,Health,Disease Prevention and Control,Make health a priority. Use approved sanitation facilities.,8,ACCEPT
PSA_00137,Health,Mental Health Awareness,Avoid unsafe practices that increase poor coping strategies. Seek professional mental health support when needed.,15,ACCEPT
PSA_00138,Health,Mental Health Awareness,Act early to prevent burnout. Seek professional mental health support when needed.,12,ACCEPT
PSA_00139,Health,Mental Health Awareness,Protect yourself from bullying: create safe and supportive school environments.,10,ACCEPT
PSA_00140,Health,Maternal and Child Health,Ministry of Health warns that poor infant feeding may affect guardians of infants. Attend postnatal care appointments.,17,ACCEPT
PSA_00141,Health,Disease Prevention and Control,Do not wait for symptoms to worsen. Visit the nearest health facility for testing.,14,ACCEPT
PSA_00142,Health,Healthcare Access,Reduce health risks in dispensaries. Use official emergency medical contacts.,10,ACCEPT
PSA_00143,Health,Maternal and Child Health,Ask qualified professionals for help and seek treatment promptly when a child has difficulty breathing.,15,ACCEPT
PSA_00144,Health,Mental Health Awareness,Take preventive action in schools. Contact a recognized health facility for professional guidance.,13,ACCEPT
PSA_00145,Health,Public Health Campaigns,Help protect urban residents by choosing to seek early diagnosis when symptoms persist.,13,ACCEPT
PSA_00146,Health,Mental Health Awareness,mental health clinics encourages workers to maintain supportive connections with family and friends.,13,ACCEPT
PSA_00147,Health,Maternal and Child Health,Report severe bleeding or persistent pain immediately to promote skilled birth attendance.,12,ACCEPT
PSA_00148,Health,Public Health Campaigns,Make wellness screening part of everyday life. Dispose of household waste safely.,12,ACCEPT
PSA_00149,Health,Maternal and Child Health,Maintain good hygiene when preparing children's food. Early action can reduce the effects of poor infant feeding.,17,ACCEPT
PSA_00150,Health,Mental Health Awareness,"If you suspect untreated mental health conditions, avoid using harmful language about mental health.",14,ACCEPT
PSA_00151,Health,Maternal and Child Health,"During a risk of missed immunization, take prescribed supplements as directed.",11,ACCEPT
PSA_00152,Health,Disease Prevention and Control,Keep health records safe and store food safely and cook it thoroughly.,12,ACCEPT
PSA_00153,Health,Mental Health Awareness,Act early to prevent school-related stress. Refer individuals to recognized support services.,12,ACCEPT
PSA_00154,Health,Maternal and Child Health,Take prescribed supplements as directed. Early action can reduce the effects of preventable childhood deaths.,15,ACCEPT
PSA_00155,Health,Mental Health Awareness,Support people seeking counselling or treatment. Ministry of Health reminds teachers to act early.,14,ACCEPT
PSA_00156,Health,Public Health Campaigns,"If you suspect poor sanitation, use public sanitation facilities responsibly.",10,ACCEPT
PSA_00157,Health,Healthcare Access,"If you are in emergency departments, verify that healthcare providers are properly licensed.",13,ACCEPT
PSA_00158,Health,Healthcare Access,Reduce the spread of lack of health information: seek referrals through recognized health facilities.,14,ACCEPT
PSA_00159,Health,Mental Health Awareness,Keep children and families safe from misinformation about mental health. Participate in mental health awareness programmes.,16,ACCEPT
PSA_00160,Health,Maternal and Child Health,Keep your community safe: take prescribed supplements as directed.,9,ACCEPT
PSA_00161,Health,Public Health Campaigns,Register for available public health programmes whenever you are in sports grounds.,12,ACCEPT
PSA_00162,Health,Maternal and Child Health,Do not wait for symptoms to worsen. Seek treatment promptly when a child has difficulty breathing.,16,ACCEPT
PSA_00163,Health,Disease Prevention and Control,Protect others by making the safe choice to use approved sanitation facilities.,12,ACCEPT
PSA_00164,Health,Disease Prevention and Control,Verified health information protects communities. Notify community health workers about unusual symptoms.,12,ACCEPT
PSA_00165,Health,Public Health Campaigns,Ask qualified professionals for help and adopt healthy eating habits.,10,ACCEPT
PSA_00166,Health,Maternal and Child Health,Small actions can prevent preventable childhood deaths. Ensure children receive all routine vaccinations.,13,ACCEPT
PSA_00167,Health,Public Health Campaigns,public health campaign teams reminds young people to maintain a clean home and neighbourhood.,14,ACCEPT
PSA_00168,Health,Maternal and Child Health,Avoid the dangers of poor infant feeding: seek immediate care when pregnancy danger signs appear.,15,ACCEPT
PSA_00169,Health,Maternal and Child Health,Make informed health decisions. Provide children with a balanced diet.,10,ACCEPT
PSA_00170,Health,Disease Prevention and Control,"Together, we can prevent contaminated drinking water. Visit the nearest health facility for testing.",14,ACCEPT
PSA_00171,Health,Mental Health Awareness,Take action against discrimination: refer individuals to recognized support services.,10,ACCEPT
PSA_00172,Health,Healthcare Access,Take action against lack of emergency care: keep all medical appointment dates.,12,ACCEPT
PSA_00173,Health,Healthcare Access,Use available mobile clinics in remote areas in dispensaries.,9,ACCEPT
PSA_00174,Health,Healthcare Access,Make health a priority. Support vulnerable family members in attending medical visits.,12,ACCEPT
PSA_00175,Health,Public Health Campaigns,"For reliable advice, contact World Health Organization and verify health messages using official sources.",14,ACCEPT
PSA_00176,Health,Disease Prevention and Control,Every community can reduce dengue fever. Seek medical attention when symptoms appear.,12,ACCEPT
PSA_00177,Health,Healthcare Access,Register births and medical records through official channels. Early action can reduce the effects of unsafe online medical advice.,19,ACCEPT
PSA_00178,Health,Mental Health Awareness,school counselling departments: Check regularly on people who may need support in urban neighbourhoods.,14,ACCEPT
PSA_00179,Health,Mental Health Awareness,Keep children and families safe from social isolation. Learn to recognize signs of emotional distress.,15,ACCEPT
PSA_00180,Health,Disease Prevention and Control,Help prevent cholera: keep homes and public spaces clean.,9,ACCEPT
PSA_00181,Health,Maternal and Child Health,County Department of Health: Report severe bleeding or persistent pain immediately to reduce the risk of dehydration in children.,19,ACCEPT
PSA_00182,Health,Healthcare Access,Timely care matters. Report suspected counterfeit medicines to the authorities.,10,ACCEPT
PSA_00183,Health,Disease Prevention and Control,World Health Organization reminds school communities to avoid close contact with people showing symptoms.,14,ACCEPT
PSA_00184,Health,Disease Prevention and Control,Protect yourself from COVID-19: wash your hands regularly with soap and clean water.,13,ACCEPT
PSA_00185,Health,Healthcare Access,Choose early care over delayed treatment. Ask healthcare workers for clear treatment instructions.,13,ACCEPT
PSA_00186,Health,Mental Health Awareness,"Students, remember to promote respectful workplace wellness practices.",8,ACCEPT
PSA_00187,Health,Healthcare Access,Confirm health insurance information through official offices to promote health service access.,12,ACCEPT
PSA_00188,Health,Healthcare Access,"When signs of delayed medical treatment appear, attend regular check-ups for chronic health conditions.",14,ACCEPT
PSA_00189,Health,Mental Health Awareness,Everyone in rehabilitation centres should avoid using harmful language about mental health.,12,ACCEPT
PSA_00190,Health,Healthcare Access,Small actions can prevent missed medical appointments. Carry relevant health records when visiting a clinic.,15,ACCEPT
PSA_00191,Health,Healthcare Access,Protect public health in maternal health clinics: ask healthcare workers for clear treatment instructions.,14,ACCEPT
PSA_00192,Health,Disease Prevention and Control,Kenya Red Cross Society advises immediate action against dengue fever: seek medical attention when symptoms appear.,16,ACCEPT
PSA_00193,Health,Mental Health Awareness,"To improve emotional support in urban neighbourhoods, contact a recognized health facility for professional guidance.",15,ACCEPT
PSA_00194,Health,Mental Health Awareness,Choose safe health practices. Contact a recognized health facility for professional guidance.,12,ACCEPT
PSA_00195,Health,Disease Prevention and Control,Choose early care over delayed treatment. Use insecticide-treated mosquito nets every night.,12,ACCEPT
PSA_00196,Health,Public Health Campaigns,Rural residents should maintain a clean home and neighbourhood.,9,ACCEPT
PSA_00197,Health,Disease Prevention and Control,Follow verified public-health guidance before delayed disease reporting becomes more serious.,11,ACCEPT
PSA_00198,Health,Public Health Campaigns,community health services: Follow instructions issued during national health campaigns in shopping centres.,13,ACCEPT
PSA_00199,Health,Maternal and Child Health,Caregivers: Maintain good hygiene when preparing children's food.,8,ACCEPT
PSA_00200,Health,Disease Prevention and Control,Promote safer communities through contact tracing. Avoid close contact with people showing symptoms.,13,ACCEPT
PSA_00201,Health,Healthcare Access,Protect your health today. Keep emergency health information easily accessible.,10,ACCEPT
PSA_00202,Health,Public Health Campaigns,Parents are advised to participate in official vaccination campaigns.,9,ACCEPT
PSA_00203,Health,Public Health Campaigns,Participate in official vaccination campaigns in public transport areas to help prevent poor personal hygiene.,15,ACCEPT
PSA_00204,Health,Maternal and Child Health,New mothers are advised to attend all scheduled antenatal clinic visits.,11,ACCEPT
PSA_00205,Health,Maternal and Child Health,Keep the child's immunization records safely and follow verified advice from public hospitals.,13,ACCEPT
PSA_00206,Health,Disease Prevention and Control,Support community health by choosing to report suspected disease outbreaks to health authorities.,13,ACCEPT
PSA_00207,Health,Mental Health Awareness,Follow treatment instructions carefully and create safe and supportive school environments.,11,ACCEPT
PSA_00208,Health,Healthcare Access,"Together, we can prevent unlicensed healthcare providers. Keep all medical appointment dates.",12,ACCEPT
PSA_00209,Health,Healthcare Access,Timely care matters. Follow official information about available health services.,10,ACCEPT
PSA_00210,Health,Disease Prevention and Control,Keep health records safe and wash your hands regularly with soap and clean water.,14,ACCEPT
PSA_00211,Health,Public Health Campaigns,Protect public health in urban neighbourhoods: reduce the consumption of harmful substances.,12,ACCEPT
PSA_00212,Health,Maternal and Child Health,Every community can reduce poor infant feeding. Seek immediate care when pregnancy danger signs appear.,15,ACCEPT
PSA_00213,Health,Public Health Campaigns,Follow verified health information. This guidance is intended for people living with chronic conditions.,14,ACCEPT
PSA_00214,Health,Public Health Campaigns,Do not wait for symptoms to worsen. Seek early diagnosis when symptoms persist.,13,ACCEPT
PSA_00215,Health,Disease Prevention and Control,Take responsibility for your health. Use approved sanitation facilities.,9,ACCEPT
PSA_00216,Health,Public Health Campaigns,"When signs of unsafe food handling appear, follow verified health information.",11,ACCEPT
PSA_00217,Health,Healthcare Access,Parents and caregivers should register for available public health insurance programmes.,11,ACCEPT
PSA_00218,Health,Maternal and Child Health,Protect others by making the safe choice to take prescribed supplements as directed.,13,ACCEPT
PSA_00219,Health,Public Health Campaigns,Kenya Red Cross Society: Use public sanitation facilities responsibly.,9,ACCEPT
PSA_00220,Health,Maternal and Child Health,"For reliable advice, contact County Department of Health and support mothers in accessing maternal healthcare.",15,ACCEPT
PSA_00221,Health,Mental Health Awareness,Good mental healthcare starts with one action: challenge false information about mental illness.,13,ACCEPT
PSA_00222,Health,Healthcare Access,Support community health by choosing to ask healthcare workers for clear treatment instructions.,13,ACCEPT
PSA_00223,Health,Public Health Campaigns,"To support disease screening, remain physically active according to health guidance.",11,ACCEPT
PSA_00224,Health,Mental Health Awareness,Learn to recognize signs of emotional distress. This guidance is intended for members of the public.,16,ACCEPT
PSA_00225,Health,Disease Prevention and Control,Respond quickly when health risks appear. Notify community health workers about unusual symptoms.,13,ACCEPT
PSA_00226,Health,Disease Prevention and Control,Seek help from Kenya Red Cross Society and visit the nearest health facility for testing.,15,ACCEPT
PSA_00227,Health,Maternal and Child Health,Community health volunteers are advised to deliver at a recognized health facility.,12,ACCEPT
PSA_00228,Health,Disease Prevention and Control,Support community health by choosing to clean frequently touched surfaces.,10,ACCEPT
PSA_00229,Health,Healthcare Access,Act early to prevent poor access to health facilities. Report discrimination or denial of essential healthcare.,16,ACCEPT
PSA_00230,Health,Mental Health Awareness,Workers should follow treatment advice from qualified professionals.,8,ACCEPT
PSA_00231,Health,Disease Prevention and Control,Every household should support safe water by choosing to store food safely and cook it thoroughly.,16,ACCEPT
PSA_00232,Health,Healthcare Access,Pregnant women are encouraged to carry relevant health records when visiting a clinic.,13,ACCEPT
PSA_00233,Health,Public Health Campaigns,Support prevention efforts in religious centres. Encourage family members to attend health campaigns.,13,ACCEPT
PSA_00234,Health,Public Health Campaigns,Follow guidance from County Department of Health: maintain a clean home and neighbourhood.,13,ACCEPT
PSA_00235,Health,Public Health Campaigns,Ask qualified professionals for help and participate in official vaccination campaigns.,11,ACCEPT
PSA_00236,Health,Mental Health Awareness,Do your part to reduce workplace stress. Use healthy methods to manage stress.,13,ACCEPT
PSA_00237,Health,Disease Prevention and Control,Ask qualified professionals for help and clean frequently touched surfaces.,10,ACCEPT
PSA_00238,Health,Healthcare Access,Protect your health today. Carry relevant health records when visiting a clinic.,12,ACCEPT
PSA_00239,Health,Healthcare Access,Take preventive action in rural communities. Verify that healthcare providers are properly licensed.,13,ACCEPT
PSA_00240,Health,Maternal and Child Health,Prevent avoidable illness. Register pregnant women with the nearest health facility.,11,ACCEPT
PSA_00241,Health,Maternal and Child Health,community health services encourages caregivers to ensure pregnant women sleep under treated mosquito nets.,14,ACCEPT
PSA_00242,Health,Public Health Campaigns,"If you are in health facilities, seek early diagnosis when symptoms persist.",12,ACCEPT
PSA_00243,Health,Healthcare Access,Verified health information protects communities. Report discrimination or denial of essential healthcare.,12,ACCEPT
PSA_00244,Health,Maternal and Child Health,Provide children with a balanced diet whenever you are in rural health facilities.,13,ACCEPT
PSA_00245,Health,Healthcare Access,Prevent avoidable illness. Keep all medical appointment dates.,8,ACCEPT
PSA_00246,Health,Healthcare Access,Prevent avoidable illness. Carry relevant health records when visiting a clinic.,11,ACCEPT
PSA_00247,Health,Public Health Campaigns,Protect yourself from misinformation about health: participate in official vaccination campaigns.,11,ACCEPT
